Rank,Channel Name,Link,Brand channel,Subscribers (millions),Primary language,Category,Country
1,T-Series,Link,Yes,238,Hindi,Music,India
2,Cocomelon,Link,Yes,155,English,Education,United States
3,Sony Entertainment Television India,Link,Yes,153,Hindi,Entertainment,India
4,MrBeast,Link,No,137,English,Entertainment,United States
5,PewDiePie,Link,No,111,English,Games,Sweden
6,Kids Diana Show,Link,Yes,109,English,Entertainment,Ukraine
7,Like Nastya,Link,No,105,English,Entertainment,United States
8,Vlad and Niki,Link,No,94.9,English,Entertainment,Russia
9,WWE,Link,Yes,93.8,English,Sports,United States
10,Zee Music Company,Link,Yes,93.4,Hindi,Music,India
11,Blackpink,Link,Yes,84.8,Korean,Music,South Korea
12,Goldmines,Link,Yes,83.3,Hindi,Film,India
13,5-Minute Crafts,Link,Yes,79.2,English,How-to,Cyprus[a]
14,Sony SAB,Link,Yes,78.2,Hindi,Entertainment,India
15,BangtanTV,Link,No,73.9,Korean,Music,South Korea
16,Justin Bieber,Link,No,71.1,English,Music,Canada
17,Hybe Labels,Link,Yes,69.5,Korean,Music,South Korea
18,Canal KondZilla,Link,Yes,66.4,Portuguese,Music,Brazil
19,Zee TV,Link,Yes,66.3,Hindi,Entertainment,India
20,Pinkfong,Link,Yes,66.1,English,Education,South Korea
21,Shemaroo Entertainment,Link,Yes,64.2,Hindi,Music,India
22,ChuChu TV,Link,Yes,63.2,Hindi,Education,India
23,Colors TV,Link,Yes,60.6,Hindi,Entertainment,India
24,Dude Perfect,Link,No,59,English,Sports,United States
25,Movieclips,Link,Yes,58.8,English,Film,United States
26,T-Series Bhakti Sagar,Link,Yes,58.4,Hindi,Music,India
27,Tips Industries,Link,Yes,57.3,Hindi,Entertainment,India
28,Wave Music,Link,Yes,56.6,Bhojpuri,Music,India
29,Marshmello,Link,No,56.2,English,Music,United States
30,Sony Music India,Link,Yes,56.1,Hindi,Music,India
31,El Reino Infantil,Link,Yes,56,Spanish,Music,Argentina
32,Aaj Tak,Link,Yes,55.9,Hindi,News,India
33,Eminem,Link,No,55.6,English,Music,United States
34,LooLoo Kids,Link,Yes,53.1,English,Music,Romania
35,Ed Sheeran,Link,No,53,English,Music,United Kingdom
36,Yash Raj Films,Link,Yes,52.7,Hindi,Music,India
37,Ariana Grande,Link,No,52.4,English,Music,United States
38,Taylor Swift,Link,No,51.1,English,Music,United States
39,BillionSurpriseToys,Link,Yes,50.6,English,Entertainment,United States
40,Infobells,Link,Yes,49.8,Hindi,Education,India
41,JuegaGerman,Link,No,47.6,Spanish,Games,Chile
42,Billie Eilish,Link,No,47.4,English,Music,United States
43,Badabun,Link,Yes,46.5,Spanish,Entertainment,Mexico
44,Fernanfloo,Link,No,45.7,Spanish,Games,El Salvador
45,Bad Bunny,Link,No,45.4,Spanish,Music,United States ( Puerto Rico)
46,SonyMusicIndiaVEVO,Link,Yes,45.4,Hindi,Music,India
47,Shemaroo,Link,Yes,45.2,Hindi,Entertainment,India
48,Get Movies,Link,Yes,45,Russian,Entertainment,Russia
49,Felipe Neto,Link,No,44.9,Portuguese,Entertainment,Brazil
50,A4,Link,No,44.6,Russian,Entertainment,Belarus
